date,descricao,valor,referencia
2020-01-27,"COMPRA CARTAO MAESTRO              27/01 BRICKTOP.S CAFE
 						",-6.0,2020-02-26
2020-01-27,"COMPRA CARTAO MAESTRO              27/01 STUDIO CAFE TAM
 						",-13.5,2020-02-26
2020-01-29,"COMPRA CARTAO MAESTRO              29/01 GALERIA
 						",-17.64,2020-02-26
2020-01-29,"COMPRA CARTAO MAESTRO              29/01 STUDIO CAFE CON
 						",-6.0,2020-02-26
2020-01-30,"COMPRA CARTAO MAESTRO              30/01 REPUBLICA DO AC
 						",-17.81,2020-02-26
2020-01-31,"COMPRA CARTAO MAESTRO              31/01 MARE ALTA
 						",-23.0,2020-02-26
2020-01-31,"COMPRA CARTAO MAESTRO              31/01 STUDIO CAFE TAM
 						",-6.0,2020-02-26
2020-01-31,"COMPRA CARTAO MAESTRO              31/01 STUDIO CAFE TAM
 						",-11.5,2020-02-26
2020-02-03,"COMPRA CARTAO MAESTRO              03/02 BUSINESSFOOD
 						",-6.0,2020-02-26
2020-02-03,"COMPRA CARTAO MAESTRO              03/02 STUDIO CAFE TAM
 						",-9.0,2020-02-26
2020-02-04,"COMPRA CARTAO MAESTRO              04/02 BRICKTOPS CAFE
 						",-6.0,2020-02-26
2020-02-05,"COMPRA CARTAO MAESTRO              05/02 BRICKTOPS CAFE
 						",-6.0,2020-02-26
2020-02-05,"COMPRA CARTAO MAESTRO              05/02 STUDIO CAFE CON
 						",-3.0,2020-02-26
2020-02-06,"CREDITO DE SALARIO                 INDRA BRAS 01645738000179
 						",2658.8,2020-02-26
2020-02-06,"COMPRA CARTAO MAESTRO              06/02 BUSINESSFOOD
 						",-6.0,2020-02-26
2020-02-06,"COMPRA CARTAO MAESTRO              06/02 POSTO NOVENTA E
 						",-210.58,2020-02-26
2020-02-06,"TED MESMA TITULARIDADE CIP         001-4996-000000098884
 						",-1500.0,2020-02-26
2020-02-06,"COMPRA CARTAO MAESTRO              06/02 BARBEARIA FLAVI
 						",-35.0,2020-02-26
2020-02-07,"TARIFA TEDELETRONICO               06/02/2020
 						",-8.24,2020-02-26
2020-02-07,"COMPRA CARTAO MAESTRO              07/02 ALL PARK JOAO P
 						",-100.0,2020-02-26
2020-02-07,"COMPRA CARTAO MAESTRO              07/02 GALERIA
 						",-24.11,2020-02-26
2020-02-07,"COMPRA CARTAO MAESTRO              07/02 IPE
 						",-330.4,2020-02-26
2020-02-07,"COMPRA CARTAO MAESTRO              07/02 SUBWAY
 						",-13.5,2020-02-26
2020-02-07,"REMUNERACAO CONTAMAX CDB DI
 						",0.2,2020-02-26
2020-02-10,"COMPRA CARTAO MAESTRO              08/02 NOVO ORIENTE
 						",-16.87,2020-02-26
2020-02-10,"COMPRA CARTAO MAESTRO              08/02 STELO S A.Dulce
 						",-3.5,2020-02-26
2020-02-10,"COMPRA CARTAO MAESTRO              09/02 BOBS DRIVE BANC
 						",-17.5,2020-02-26
2020-02-10,"TARIFA MENSALIDADE PACOTE SERVICOS  JANEIRO / 2020
 						",-8.2,2020-02-26
2020-02-10,"PAGAMENTO CARTAO CREDITO BCE       10/02 08:14 CARTAO MASTER
 						",-170.06,2020-02-26
2020-02-12,"COMPRA CARTAO MAESTRO              12/02 BRICKTOPS CAFE
 						",-6.0,2020-02-26
2020-02-12,"COMPRA CARTAO MAESTRO              12/02 SUBWAY
 						",-21.0,2020-02-26
2020-02-12,"COMPRA CARTAO MAESTRO              12/02 EMP BARNABE MAN
 						",-14.9,2020-02-26
2020-02-13,"COMPRA CARTAO MAESTRO              13/02 STUDIO CAFE CON
 						",-2.5,2020-02-26
2020-02-14,"COMPRA CARTAO MAESTRO              14/02 NHOLANDA BURGER
 						",-20.0,2020-02-26
2020-02-14,"COMPRA CARTAO MAESTRO              14/02 STELO S A.Dulce
 						",-3.5,2020-02-26
2020-02-17,"COMPRA CARTAO MAESTRO              15/02 STELO S A.Dulce
 						",-3.0,2020-02-26
2020-02-18,"TRANSFERENCIA ENTRE CONTAS         ALISSON ALCOFORADO SENA D
 						",27.9,2020-02-26
2020-02-18,"COMPRA CARTAO MAESTRO              18/02 DOCE ACAI
 						",-14.12,2020-02-26
2020-02-19,"COMPRA CARTAO MAESTRO              19/02 STUDIO CAFE CON
 						",-7.5,2020-02-26
2020-02-20,"COMPRA CARTAO MAESTRO              20/02 BUSINESSFOOD
 						",-12.0,2020-02-26
2020-02-26,"COMPRA CARTAO MAESTRO              23/02 PORTAL ADMINIST
 						",-6.0,2020-02-26
2020-02-26,"COMPRA CARTAO MAESTRO              24/02 GIRAFFAS MAG SH
 						",-22.9,2020-02-26
2020-02-26,"COMPRA CARTAO MAESTRO              24/02 LOJAS AMERICANA
 						",-9.99,2020-02-26
2020-02-26,"COMPRA CARTAO MAESTRO              24/02 MAG ADMINISTRAC
 						",-5.0,2020-02-26
2020-02-26,"COMPRA CARTAO MAESTRO              24/02 PANIFICADORA LA
 						",-6.46,2020-02-26
2020-02-26,"COMPRA CARTAO MAESTRO              26/02 JP JD CID UNIV
 						",-23.08,2020-02-26
2020-02-26,"COMPRA CARTAO MAESTRO              26/02 PANIFICADORA LA
 						",-11.2,2020-02-26
